,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
141,Toyota,2005,Nigerian Used,305026,3300,Petrol,Automatic,"5,720,000",
142,Mercedes-Benz,2015,Nigerian Used,82680,2500,Petrol,Automatic,"12,000,000",
143,Toyota,2015,Foreign Used,135678,2500,Petrol,Automatic,"13,520,000",SUV
144,Lexus,2009,Nigerian Used,231559,3500,Petrol,Automatic,"3,675,000",
145,Mercedes-Benz,2010,Nigerian Used,166857,3500,Petrol,Automatic,"5,775,000",SUV
146,Toyota,2007,Foreign Used,208705,2400,Hybrid,Automatic,"5,250,000",SUV
147,Toyota,2011,Foreign Used,226347,2500,Petrol,Automatic,"4,410,000",
148,Toyota,2007,Nigerian Used,147884,2400,Petrol,Automatic,"3,640,000",SUV
149,Toyota,2014,Nigerian Used,149674,2700,Petrol,Automatic,"15,800,000",SUV
150,Toyota,2008,Nigerian Used,122578,2400,Petrol,Automatic,"3,640,000",
151,Toyota,2012,Nigerian Used,138946,2500,Petrol,Automatic,"4,700,000",
152,Lexus,2004,Nigerian Used,204939,3300,Petrol,Automatic,"4,680,000",SUV
153,Hyundai,2008,Foreign Used,259605,2000,Petrol,Automatic,"3,640,000",
154,Lexus,2009,Nigerian Used,231559,3500,Petrol,Automatic,"3,675,000",
155,Mazda,2006,Foreign Used,198267,2000,Petrol,Manual,"6,300,000",
156,Hyundai,2015,Nigerian Used,112062,2400,Petrol,Automatic,"5,825,000",SUV
157,Land Rover,2011,Foreign Used,223592,5000,Petrol,Automatic,"13,125,000",SUV
158,Ford,2013,Nigerian Used,146127,3500,Petrol,Automatic,"3,675,000",SUV
159,Mercedes-Benz,2006,Nigerian Used,259700,3500,Petrol,Automatic,"3,622,500",SUV
160,Lexus,2016,Nigerian Used,55968,5700,Petrol,Automatic,"63,000,000",SUV
161,Toyota,2007,Foreign Used,342240,3300,Petrol,Automatic,"4,515,000",
162,Mercedes-Benz,2008,Nigerian Used,87535,55009,Petrol,Automatic,"8,320,000",
163,Lexus,2005,Nigerian Used,169361,4700,Petrol,Automatic,"4,515,000",SUV
164,Toyota,2007,Nigerian Used,384995,2400,Petrol,Automatic,"3,120,000",
165,Toyota,2007,Foreign Used,342240,3300,Petrol,Automatic,"4,515,000",
